cnpj_basico,razao_social,natureza_juridica,porte,situacao_cadastral,cnae_principal,uf,municipio,phone,email,is_bank,is_public,is_inactive,rfb_source,rfb_fetched_at,extracted_at,extracted_by
04591114,NUTRANE NUTRICAO ANIMAL LTDA,2062,DEMAIS,02,1066000,PE,PESQUEIRA,8738353486,,0,0,0,minhareceita,2026-09-03T23:44:25Z,2026-09-03T23:44:25Z,enrich
05052443,PLASKEM EMBALAGENS LTDA,2062,DEMAIS,02,2222600,BA,LAURO DE FREITAS,7131860354,,0,0,0,minhareceita,2026-09-03T23:42:58Z,2026-09-03T23:42:58Z,enrich
05216859,BIOBASE INDUSTRIA E COMERCIO LTDA,2062,DEMAIS,02,3250705,MG,POUSO ALEGRE,3534277000,,0,0,0,minhareceita,2026-09-03T23:40:38Z,2026-09-03T23:40:38Z,enrich
05429994,VEGETAL AGRONEGOCIOS LTDA,2062,DEMAIS,02,4683400,DF,BRASILIA,6132348485,,0,0,0,minhareceita,2026-09-03T23:37:54Z,2026-09-03T23:37:54Z,enrich
05571228,FERTILIZANTES TOCANTINS S.A,2054,DEMAIS,02,2013402,TO,PORTO NACIONAL,6234146300,,0,0,0,minhareceita,2026-09-03T23:38:21Z,2026-09-03T23:38:21Z,enrich
05860157,EPE - PRODUTOS AGROPECUARIOS LTDA,2062,DEMAIS,02,4692300,PE,GARANHUNS,8134653775,,0,0,0,minhareceita,2026-09-03T23:41:48Z,2026-09-03T23:41:48Z,enrich
06974793,CAVALO MARINHO COMBUSTIVEIS PERNAMBUCO LTDA,2062,DEMAIS,02,4681802,PE,JABOATAO DOS GUARARAPES,8131065102,,0,0,0,minhareceita,2026-09-03T23:47:04Z,2026-09-03T23:47:04Z,enrich
07220874,COMPANHIA DE ALIMENTOS DO NORDESTE CIALNE,2054,DEMAIS,02,155502,CE,FORTALEZA,8534772700,,0,0,0,minhareceita,2026-09-03T23:46:16Z,2026-09-03T23:46:16Z,enrich
07237373,BANCO DO NORDESTE DO BRASIL SA,2038,DEMAIS,02,6422100,CE,FORTALEZA,8532993000,,1,0,0,minhareceita,2026-09-03T23:37:49Z,2026-09-03T23:37:49Z,enrich
08810422,GUARARAPES PAINEIS S/A,2054,DEMAIS,02,1621800,SC,CACADOR,4130991414,,0,0,0,minhareceita,2026-09-03T23:43:48Z,2026-09-03T23:43:48Z,enrich
08886407,MINERAX - MINERACAO XAMBIOA LTDA,2062,DEMAIS,02,810004,TO,XAMBIOA,6334158500,,0,0,0,minhareceita,2026-09-03T23:39:32Z,2026-09-03T23:39:32Z,enrich
08888040,CP COMERCIAL S/A,2054,DEMAIS,02,4530702,SC,ITAJAI,4730462550,,0,0,0,minhareceita,2026-09-03T23:47:02Z,2026-09-03T23:47:02Z,enrich
09123654,COMPANHIA DE AGUA E ESGOTOS DA PARAIBA CAGEPA,2038,DEMAIS,02,3600601,PB,JOAO PESSOA,8332181200,,0,0,0,minhareceita,2026-09-03T23:37:45Z,2026-09-03T23:37:45Z,enrich
09536120,SEMPRE AGTECH LTDA,2062,DEMAIS,02,141501,SC,CHAPECO,4934418200,,0,0,0,minhareceita,2026-09-03T23:38:20Z,2026-09-03T23:38:20Z,enrich
10925045,OPTIMUM CONSULTORIA EM GESTAO PUBLICA E EMPRESARIAL LTDA,2062,MICRO EMPRESA,02,7020400,PB,CAMPINA GRANDE,8399750001,,0,0,0,minhareceita,2026-09-03T23:43:11Z,2026-09-03T23:43:11Z,enrich
10962529,CALMAP INDUSTRIA DE CALCARIO LTDA,2062,DEMAIS,02,891600,PA,SAO GERALDO DO ARAGUAIA,8530820505,,0,0,0,minhareceita,2026-09-03T23:40:52Z,2026-09-03T23:40:52Z,enrich
11065453,COBREMACK INDUSTRIA DE CONDUTORES ELETRICOS LIMITADA EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,2062,DEMAIS,02,2733300,BA,LAURO DE FREITAS,1141565531,,0,0,0,minhareceita,2026-09-03T23:40:32Z,2026-09-03T23:40:32Z,enrich
11507489,BFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,2224,DEMAIS,02,6470101,SP,SAO PAULO,1128273500,,1,0,0,minhareceita,2026-09-03T23:39:54Z,2026-09-03T23:39:54Z,enrich
11516792,BRANDT SOLUCOES EM AGRICULTURA LTDA,2062,DEMAIS,02,2013402,PR,CAMBE,4333452323,,0,0,0,minhareceita,2026-09-03T23:43:02Z,2026-09-03T23:43:02Z,enrich
12073848,JC SOCCER TALENTS MARKETING ESPORTIVO LTDA,2062,DEMAIS,02,7490105,RJ,RIO DE JANEIRO,2139708940,,0,0,0,minhareceita,2026-09-03T23:45:38Z,2026-09-03T23:45:38Z,enrich
14492564,POLYEXCEL INDUSTRIA E COMERCIO DE COMPOSTOS POLIMERICOS LTDA,2062,DEMAIS,02,2229302,SP,BARUERI,1141616775,,0,0,0,minhareceita,2026-09-03T23:42:13Z,2026-09-03T23:42:13Z,enrich
14547859,PLANALTO COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,2062,DEMAIS,02,4731800,PB,SANTA RITA,8399843530,,0,0,0,minhareceita,2026-09-03T23:47:23Z,2026-09-03T23:47:23Z,enrich
14724478,M.C. ARRUDA ADMINISTRADORA DE BENS S.A.,2054,DEMAIS,02,6822600,PE,RECIFE,8133142110,,0,0,0,minhareceita,2026-09-03T23:47:05Z,2026-09-03T23:47:05Z,enrich
15626673,NORTESUL COMERCIAL AGRICOLA LTDA EM RECUPERACAO JUDICIAL,2062,DEMAIS,02,4623199,TO,PALMAS,6336024239,,0,0,0,minhareceita,2026-09-03T23:37:27Z,2026-09-03T23:37:27Z,enrich
18373437,CROPFERT INDUSTRIA DE FERTILIZANTES E AGROQUIMICOS LTDA,2062,DEMAIS,02,2051700,PR,JANDAIA DO SUL,4331622700,,0,0,0,minhareceita,2026-09-03T23:41:17Z,2026-09-03T23:41:17Z,enrich
19403406,MAGNUM DISTRIBUIDORA DE PNEUS S/A,2054,DEMAIS,02,4530702,PE,JABOATAO DOS GUARARAPES,8137976245,,0,0,0,minhareceita,2026-09-03T23:40:21Z,2026-09-03T23:40:21Z,enrich
20204300,MSN SECURITIZADORA S.A.,2054,DEMAIS,02,6492100,PR,CURITIBA,4197018862,,1,0,0,minhareceita,2026-09-03T23:38:04Z,2026-09-03T23:38:04Z,enrich
20366728,CASA BUGRE GOIAS COMERCIO E REPRESENTACAO LTDA,2062,DEMAIS,02,4623106,GO,ANAPOLIS,6137700199,,0,0,0,minhareceita,2026-09-03T23:38:52Z,2026-09-03T23:38:52Z,enrich
20791371,INTERBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,2224,DEMAIS,02,6470101,SP,SAO PAULO,1128273500,,1,0,0,minhareceita,2026-09-03T23:38:53Z,2026-09-03T23:38:53Z,enrich
20889236,JSS SERVICOS LTDA,2062,MICRO EMPRESA,04,7319002,MG,SENADOR AMARAL,3530251978,,0,0,1,minhareceita,2026-09-03T23:37:40Z,2026-09-03T23:37:40Z,enrich
21044682,RG COPPER INDUSTRIA E COMERCIO DE CONDUTORES ELETRICOS LTDA,2062,DEMAIS,02,2733300,SP,JARDINOPOLIS,1125075535,,0,0,0,minhareceita,2026-09-03T23:39:41Z,2026-09-03T23:39:41Z,enrich
21203489,SOLUS DO BRASIL LTDA,2062,DEMAIS,02,2051700,PR,APUCARANA,4331622715,,0,0,0,minhareceita,2026-09-03T23:37:24Z,2026-09-03T23:37:24Z,enrich
21877243,ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS LTDA - EM RECUPERACAO JUDICIAL,2062,DEMAIS,02,4639701,PE,RECIFE,8133142120,,0,0,0,minhareceita,2026-09-03T23:39:18Z,2026-09-03T23:39:18Z,enrich
23360870,ASTRA SECURITIZADORA S.A.,2054,DEMAIS,02,6492100,SP,SAO PAULO,1139957800,,1,0,0,minhareceita,2026-09-03T23:38:14Z,2026-09-03T23:38:14Z,enrich
26489103,INVISTA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,2224,DEMAIS,02,6470101,PR,CURITIBA,4131227300,,1,0,0,minhareceita,2026-09-03T23:40:18Z,2026-09-03T23:40:18Z,enrich
26506898,TREVISO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,2224,DEMAIS,02,6470101,SP,SAO PAULO,1128273500,,1,0,0,minhareceita,2026-09-03T23:40:17Z,2026-09-03T23:40:17Z,enrich
29588019,COMARY INDUSTRIA DE BEBIDAS LTDA,2062,DEMAIS,02,1112700,RJ,TERESOPOLIS,2121524014,,0,0,0,minhareceita,2026-09-03T23:41:43Z,2026-09-03T23:41:43Z,enrich
29736901,PETROSTAR COMBUSTIVEIS LTDA,2062,DEMAIS,02,4681802,PE,CABO DE SANTO AGOSTINHO,8191974902,,0,0,0,minhareceita,2026-09-03T23:46:36Z,2026-09-03T23:46:36Z,enrich
31281962,CROMO INDUSTRIA QUIMICA S.A.,2054,DEMAIS,02,2099199,RS,ESTRELA,1141308138,,0,0,0,minhareceita,2026-09-03T23:38:05Z,2026-09-03T23:38:05Z,enrich
31872495,BANCO C6 S.A.,2054,DEMAIS,02,6422100,SP,SAO PAULO,1128326000,,1,0,0,minhareceita,2026-09-03T23:38:16Z,2026-09-03T23:38:16Z,enrich
33069766,COMPANHIA BRASILEIRA DE PETROLEO IPIRANGA,2054,DEMAIS,08,4681801,RJ,RIO DE JANEIRO,,,0,0,1,minhareceita,2026-09-03T23:47:05Z,2026-09-03T23:47:05Z,enrich
33233778,TAG INDUSTRIA E LAMINACAO LTDA,2062,DEMAIS,02,7490199,SP,SAO PAULO,1144634833,,0,0,0,minhareceita,2026-09-03T22:31:00Z,2026-09-03T23:36:52Z,enrich
33647553,FLUMINENSE FOOTBALL CLUB,3999,DEMAIS,02,9312300,RJ,RIO DE JANEIRO,,,0,0,0,minhareceita,2026-09-03T23:42:42Z,2026-09-03T23:42:42Z,enrich
33721490,METAL CREDIT SECURITIZADORA S.A.,2054,DEMAIS,02,6492100,SP,SAO PAULO,4132444560,,1,0,0,minhareceita,2026-09-03T23:37:46Z,2026-09-03T23:37:46Z,enrich
34250750,CERES INVESTIMENTOS E CONSULTORIA LTDA,2062,DEMAIS,02,6612605,MG,UBERABA,3433110140,,1,0,0,minhareceita,2026-09-03T23:47:16Z,2026-09-03T23:47:16Z,enrich
38733545,"SOTIN SOLUCOES TECNICAS, INDUSTRIA E COMERCIO LTDA",2062,DEMAIS,02,2599399,SP,JUNDIAI,1144968888,,0,0,0,minhareceita,2026-09-03T23:40:31Z,2026-09-03T23:40:31Z,enrich
43464332,IRON COMEX LTDA,2062,DEMAIS,02,4693100,PE,RECIFE,8197078484,,0,0,0,minhareceita,2026-09-03T23:42:17Z,2026-09-03T23:42:17Z,enrich
47799028,EDENTEC INDUSTRIA E COMERCIO LTDA,2062,DEMAIS,02,1629301,SP,SOROCABA,,,0,0,0,minhareceita,2026-09-03T23:44:07Z,2026-09-03T23:44:07Z,enrich
48430290,ADDIANTE S.A,2054,DEMAIS,02,7719599,PR,CURITIBA,4195710152,,0,0,0,minhareceita,2026-09-03T23:37:24Z,2026-09-03T23:37:24Z,enrich
49698723,M CASSAB COMERCIO E INDUSTRIA LTDA,2062,DEMAIS,02,4689399,SP,SAO PAULO,1121627700,,0,0,0,minhareceita,2026-09-03T23:46:15Z,2026-09-03T23:46:15Z,enrich
51254159,KARINA PLASTICOS LTDA,2062,DEMAIS,02,2031200,SP,GUARULHOS,1124408477,,0,0,0,minhareceita,2026-09-03T23:38:43Z,2026-09-03T23:38:43Z,enrich
52068491,SULPECAS COMERCIO E REPRESENTACOES LTDA,2062,DEMAIS,02,4662100,SP,SAO PAULO,1138299900,,0,0,0,minhareceita,2026-09-03T23:46:07Z,2026-09-03T23:46:07Z,enrich
54289830,DOREMUS ALIMENTOS LTDA,2062,DEMAIS,02,1099699,SP,GUARULHOS,1124363333,,0,0,0,minhareceita,2026-09-03T23:43:53Z,2026-09-03T23:43:53Z,enrich
58160789,BANCO SAFRA S A,2054,DEMAIS,02,6422100,SP,SAO PAULO,1131757575,,1,0,0,minhareceita,2026-09-03T23:38:10Z,2026-09-03T23:38:10Z,enrich
60701190,ITAU UNIBANCO S.A.,2054,DEMAIS,02,6421200,SP,SAO PAULO,1130034828,,1,0,0,minhareceita,2026-09-03T23:40:25Z,2026-09-03T23:40:25Z,enrich
60746948,BANCO BRADESCO S.A.,2046,DEMAIS,02,6422100,SP,OSASCO,1136845122,,1,0,0,minhareceita,2026-09-03T23:36:50Z,2026-09-03T23:36:50Z,enrich
60846599,IBRAME INDUSTRIA BRASILEIRA DE METAIS S/A,2054,DEMAIS,02,4693100,ES,VITORIA,4721010049,,0,0,0,minhareceita,2026-09-03T23:38:53Z,2026-09-03T23:38:53Z,enrich
60889128,BANCO SOFISA S.A.,2054,DEMAIS,02,6422100,SP,SAO PAULO,1131765500,,1,0,0,minhareceita,2026-09-03T23:38:20Z,2026-09-03T23:38:20Z,enrich
62143847,DACARTO INDUSTRIA E COMERCIO DE PLASTICOS LTDA,2062,DEMAIS,02,2229399,SP,OSASCO,1136589459,,0,0,0,minhareceita,2026-09-03T23:38:39Z,2026-09-03T23:38:39Z,enrich
62232889,BANCO DAYCOVAL S.A.,2046,DEMAIS,02,6422100,SP,SAO PAULO,1131380500,,1,0,0,minhareceita,2026-09-03T23:39:06Z,2026-09-03T23:39:06Z,enrich
69915536,JUAREZ DE OLIVEIRA,2135,MICRO EMPRESA,02,4789099,PE,ARCOVERDE,,,0,0,0,minhareceita,2026-09-03T23:45:38Z,2026-09-03T23:45:38Z,enrich
71799001,REICHENBACH EQUIPAMENTOS INDUSTRIA E COMERCIO LTDA,2062,DEMAIS,02,2829199,SP,CARAPICUIBA,1141815054,,0,0,0,minhareceita,2026-09-03T23:38:22Z,2026-09-03T23:38:22Z,enrich
82165010,MARTINS CONFECCAO E COMERCIO DE ARTIGOS DO VESTUARIO E ACESSORIOS LTDA,2062,DEMAIS,02,1321900,SC,INDAIAL,4721232500,,0,0,0,minhareceita,2026-09-03T23:46:25Z,2026-09-03T23:46:25Z,enrich
90400888,BANCO SANTANDER (BRASIL) S.A.,2046,DEMAIS,02,6422100,SP,SAO PAULO,1140043535,,1,0,0,minhareceita,2026-09-03T23:36:51Z,2026-09-03T23:36:51Z,enrich
98521909,VINICOLA CAMPESTRE LTDA,2062,DEMAIS,02,1112700,RS,CAMPESTRE DA SERRA,5435116050,,0,0,0,minhareceita,2026-09-03T22:31:01Z,2026-09-03T23:37:04Z,enrich
