cnpj_basico,razao_social,natureza_juridica,porte,situacao_cadastral,cnae_principal,uf,municipio,phone,email,is_bank,is_public,is_inactive,rfb_source,rfb_fetched_at,extracted_at,extracted_by
01144076,MAB - SP SERVICOS ADMINISTRATIVOS LTDA,2062,EMPRESA DE PEQUENO PORTE,02,8211300,SP,BARUERI,1144361775,,0,0,0,minhareceita,2026-09-03T23:42:55Z,2026-09-03T23:42:55Z,enrich
01249612,FUNDO DE PROMOCOES COLETIVAS DO MARINGA PARK SHOPPING CENTER,3999,DEMAIS,02,9430800,PR,MARINGA,,,0,0,0,minhareceita,2026-09-03T23:44:30Z,2026-09-03T23:44:30Z,enrich
01257995,GOIASMINAS INDUSTRIA DE LATICINIOS LTDA,2062,DEMAIS,02,1052000,GO,CORUMBAIBA,6434477500,,0,0,0,minhareceita,2026-09-03T23:43:18Z,2026-09-03T23:43:18Z,enrich
01358125,WORLD BLUE INDUSTRIA E COMERCIO DE CONFECCOES LTDA,2062,DEMAIS,02,1412601,SC,BRUSQUE,000000000000,,0,0,0,minhareceita,2026-09-03T23:40:59Z,2026-09-03T23:40:59Z,enrich
01397886,ACOS LONGOS DO NORDESTE LTDA,2062,DEMAIS,02,2599399,CE,EUSEBIO,8531173000,,0,0,0,minhareceita,2026-09-03T23:46:30Z,2026-09-03T23:46:30Z,enrich
01424397,FAN STORE ENTRETENIMENTO S.A,2054,DEMAIS,02,1340501,SP,BARRA BONITA,1436042024,,0,0,0,minhareceita,2026-09-03T23:40:14Z,2026-09-03T23:40:14Z,enrich
01440590,FRESENIUS MEDICAL CARE LTDA,2062,DEMAIS,02,2121101,SP,JAGUARIUNA,1938479700,,0,0,0,minhareceita,2026-09-03T23:37:03Z,2026-09-03T23:37:03Z,enrich
01449930,SIEMENS HEALTHCARE DIAGNOSTICOS LTDA.,2062,DEMAIS,02,4645101,SP,SAO PAULO,1145857350,,0,0,0,minhareceita,2026-09-03T23:41:31Z,2026-09-03T23:41:31Z,enrich
01466091,CIAPETRO DISTRIBUIDORA DE COMBUSTIVEIS LTDA,2062,DEMAIS,02,4681801,PR,CIANORTE,4436196400,,0,0,0,minhareceita,2026-09-03T23:40:30Z,2026-09-03T23:40:30Z,enrich
01489979,PROSPERE SECURITIZADORA S.A.,2054,DEMAIS,02,6492100,PR,LONDRINA,4396823443,,1,0,0,minhareceita,2026-09-03T23:38:26Z,2026-09-03T23:38:26Z,enrich
01494867,P.U. ESPUMAS DO BRASIL LTDA,2062,DEMAIS,02,4684299,SP,SAO PAULO,1134881904,,0,0,0,minhareceita,2026-09-03T23:38:43Z,2026-09-03T23:38:43Z,enrich
01536085,PNEULANDIA COMERCIAL LTDA,2062,DEMAIS,02,4530705,GO,GOIANIA,,,0,0,0,minhareceita,2026-09-03T23:45:31Z,2026-09-03T23:45:31Z,enrich
01608488,HOHL MAQUINAS AGRICOLAS LTDA,2062,DEMAIS,02,8211300,GO,GOIANIA,6231426515,,0,0,0,minhareceita,2026-09-03T23:38:58Z,2026-09-03T23:38:58Z,enrich
01618965,R M PORTO CONSULTORIA E REPRESENTACOES LTDA,2062,EMPRESA DE PEQUENO PORTE,02,4618499,SP,SANTANA DE PARNAIBA,1141544470,,0,0,0,minhareceita,2026-09-03T23:46:01Z,2026-09-03T23:46:01Z,enrich
01631022,VIANMAQ EQUIPAMENTOS LTDA,2062,DEMAIS,02,4669999,PR,CAMPO LARGO,4135552161,,0,0,0,minhareceita,2026-09-03T23:37:53Z,2026-09-03T23:37:53Z,enrich
01637593,ENORD ENGENHARIA LTDA,2062,DEMAIS,02,4120400,AL,MACEIO,8233361991,,0,0,0,minhareceita,2026-09-03T23:44:38Z,2026-09-03T23:44:38Z,enrich
01637668,SAO LUIS ADMINISTRADORA DE SHOPPING CENTER LTDA,2062,DEMAIS,02,6822600,MA,SAO LUIS,9833133760,,0,0,0,minhareceita,2026-09-03T23:41:50Z,2026-09-03T23:41:50Z,enrich
01637895,VOTORANTIM CIMENTOS S.A.,2046,DEMAIS,02,2320600,SP,SAO PAULO,4133885292,,0,0,0,minhareceita,2026-09-03T23:44:28Z,2026-09-03T23:44:28Z,enrich
01644931,A.S.E. DISTRIBUICAO LTDA.,2062,MICRO EMPRESA,02,8219999,GO,ANAPOLIS,6233114130,,0,0,0,minhareceita,2026-09-03T23:42:48Z,2026-09-03T23:42:48Z,enrich
01682147,AVENORTE AVICOLA CIANORTE LTDA,2062,DEMAIS,02,1012101,PR,CIANORTE,4436195544,,0,0,0,minhareceita,2026-09-03T23:45:37Z,2026-09-03T23:45:37Z,enrich
01701201,KIRTON BANK S.A. - BANCO MULTIPLO,2054,DEMAIS,02,6422100,SP,OSASCO,1136843884,,1,0,0,minhareceita,2026-09-03T23:40:38Z,2026-09-03T23:40:38Z,enrich
01789121,ALBAUGH AGRO BRASIL LTDA.,2062,DEMAIS,02,2051700,SP,SAO PAULO,1130764243,,0,0,0,minhareceita,2026-09-03T23:37:12Z,2026-09-03T23:37:12Z,enrich
01790923,TERRAMAQ PECAS E SERVICOS LTDA,2062,EMPRESA DE PEQUENO PORTE,02,4661300,PE,RECIFE,08132228756,,0,0,0,minhareceita,2026-09-03T23:39:15Z,2026-09-03T23:39:15Z,enrich
01791741,ASFALTOS NORDESTE LTDA,2062,DEMAIS,02,2073800,CE,MARACANAU,8533112811,,0,0,0,minhareceita,2026-09-03T23:40:49Z,2026-09-03T23:40:49Z,enrich
01792254,L. J. MOVEIS LTDA,2062,DEMAIS,02,3101200,MG,SAO GERALDO,3234060153,,0,0,0,minhareceita,2026-09-03T23:44:17Z,2026-09-03T23:44:17Z,enrich
01802541,TUBOARTE INDUSTRIA E COMERCIO LTDA,2062,DEMAIS,02,3101200,CE,JAGUARIBE,8835228300,,0,0,0,minhareceita,2026-09-03T23:40:50Z,2026-09-03T23:40:50Z,enrich
01838723,BRF S.A.,2046,DEMAIS,02,1012101,SC,ITAJAI,4732494100,,0,0,0,minhareceita,2026-09-03T23:46:43Z,2026-09-03T23:46:43Z,enrich
01849036,PROTEC PRODUTOS AGRICOLAS LTDA,2062,DEMAIS,02,4683400,MG,UBERLANDIA,3432567400,,0,0,0,minhareceita,2026-09-03T23:46:46Z,2026-09-03T23:46:46Z,enrich
01858973,AIRELA INDUSTRIA FARMACEUTICA LTDA,2062,DEMAIS,02,2121101,SC,PEDRAS GRANDES,4836590304,,0,0,0,minhareceita,2026-09-03T23:42:04Z,2026-09-03T23:42:04Z,enrich
01911761,NATIVA PRODUTOS AGRICOLAS LTDA,2062,DEMAIS,02,4683400,PR,PATO BRANCO,4632202442,,0,0,0,minhareceita,2026-09-03T23:42:41Z,2026-09-03T23:42:41Z,enrich
01999744,CALHAFORTE LTDA,2062,DEMAIS,02,2593400,SP,SAO PAULO,1129158834,,0,0,0,minhareceita,2026-09-03T23:46:45Z,2026-09-03T23:46:45Z,enrich
02003402,ADM DO BRASIL LTDA,2062,DEMAIS,02,4623199,ES,VITORIA,1151853500,,0,0,0,minhareceita,2026-09-03T23:38:18Z,2026-09-03T23:38:18Z,enrich
02017233,PROGER-COMERCIO IMPORTACAO E EXPORTACAO LTDA,2062,EMPRESA DE PEQUENO PORTE,02,4645101,RS,PORTO ALEGRE,5196064995,,0,0,0,minhareceita,2026-09-03T23:41:52Z,2026-09-03T23:41:52Z,enrich
02036483,CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA,2062,DEMAIS,08,2943300,SP,VARZEA PAULISTA,1145968153,,0,0,1,minhareceita,2026-09-03T23:40:03Z,2026-09-03T23:40:03Z,enrich
02038232,BANCO COOPERATIVO SICOOB S.A.,2054,DEMAIS,02,6424701,DF,BRASILIA,6132175200,,1,0,0,minhareceita,2026-09-03T23:41:27Z,2026-09-03T23:41:27Z,enrich
02077618,COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO,2143,DEMAIS,02,4692300,GO,RIO VERDE,6436111500,,0,0,0,minhareceita,2026-09-03T23:44:44Z,2026-09-03T23:44:44Z,enrich
02089969,LATICINIOS BELA VISTA S.A.,2054,DEMAIS,02,1052000,GO,GOIANIA,6239468300,,0,0,0,minhareceita,2026-09-03T23:47:11Z,2026-09-03T23:47:11Z,enrich
02134825,ASSOCIACAO DOS AGROPECUARISTAS CABRITOS DA FLORESTA,3999,DEMAIS,04,9499500,PE,FLORESTA,8799043333,,0,0,1,minhareceita,2026-09-03T23:37:10Z,2026-09-03T23:37:10Z,enrich
02135888,PRODUSI METALURGICA LTDA,2062,DEMAIS,02,2599399,PR,LONDRINA,4333738800,,0,0,0,minhareceita,2026-09-03T23:41:59Z,2026-09-03T23:41:59Z,enrich
02149075,SOLUS PECAS AGRICOLAS LTDA,2062,EMPRESA DE PEQUENO PORTE,02,2833000,PR,PATO BRANCO,0462241289,,0,0,0,minhareceita,2026-09-03T23:39:51Z,2026-09-03T23:39:51Z,enrich
02162259,MWM - TUPY DO BRASIL LTDA.,2062,DEMAIS,02,8211300,SP,SAO PAULO,1138823200,,0,0,0,minhareceita,2026-09-03T23:43:52Z,2026-09-03T23:43:52Z,enrich
02212918,BELCAR CAMINHOES E MAQUINAS LTDA,2062,DEMAIS,02,4511104,GO,GOIANIA,6232399600,,0,0,0,minhareceita,2026-09-03T23:43:05Z,2026-09-03T23:43:05Z,enrich
02271463,CROMEX S/A,2054,DEMAIS,02,2229302,SP,SAO PAULO,1121315408,,0,0,0,minhareceita,2026-09-03T23:46:24Z,2026-09-03T23:46:24Z,enrich
02274615,USECAR LOCADORA DE VEICULOS S/A,2054,DEMAIS,02,7711000,MG,BELO HORIZONTE,3140011408,,0,0,0,minhareceita,2026-09-03T23:42:28Z,2026-09-03T23:42:28Z,enrich
02282709,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORTE BRASILEIRO,2143,DEMAIS,02,6424703,GO,ANAPOLIS,6233113810,,1,0,0,minhareceita,2026-09-03T23:38:18Z,2026-09-03T23:38:18Z,enrich
02286479,LOCALIZA FLEET S.A.,2046,DEMAIS,02,7711000,MG,BELO HORIZONTE,3123237160,,0,0,0,minhareceita,2026-09-03T23:47:22Z,2026-09-03T23:47:22Z,enrich
02291660,L D NUNES,2135,EMPRESA DE PEQUENO PORTE,02,1013902,RN,MACAIBA,,,0,0,0,minhareceita,2026-09-03T23:41:54Z,2026-09-03T23:41:54Z,enrich
02339308,GPS EMPREENDIMENTOS LTDA - EM RECUPERACAO JUDICIAL,2062,EMPRESA DE PEQUENO PORTE,02,4120400,AL,MACEIO,8233771300,,0,0,0,minhareceita,2026-09-03T23:43:37Z,2026-09-03T23:43:37Z,enrich
02377798,ICCAP IMPLEMENTOS RODOVIARIOS LTDA,2062,DEMAIS,02,4511105,MS,CAMPO GRANDE,6733452200,,0,0,0,minhareceita,2026-09-03T23:45:26Z,2026-09-03T23:45:26Z,enrich
02410500,SUECA ROLAMENTOS E SOLUCOES INDUSTRIAIS LTDA,2062,DEMAIS,02,4663000,RS,PORTO ALEGRE,5133378477,,0,0,0,minhareceita,2026-09-03T23:40:19Z,2026-09-03T23:40:19Z,enrich
02429547,JOMHEDICA NORTE PRODUTOS MEDICOS HOSPITALARES LTDA,2062,DEMAIS,02,4773300,RS,PORTO ALEGRE,5121080900,,0,0,0,minhareceita,2026-09-03T23:45:39Z,2026-09-03T23:45:39Z,enrich
02435301,SIAGRI SISTEMAS DE GESTAO LTDA,2062,DEMAIS,02,6202300,GO,RIO VERDE,6436201550,,0,0,0,minhareceita,2026-09-03T23:45:33Z,2026-09-03T23:45:33Z,enrich
02456955,NATULAB LABORATORIO S.A,2054,DEMAIS,02,2121101,BA,SANTO ANTONIO DE JESUS,7533115555,,0,0,0,minhareceita,2026-09-03T23:38:48Z,2026-09-03T23:38:48Z,enrich
02494715,COOPERATIVA UNIMED CENTRAL DE COOPERATIVAS UNIMED DO RIO GRANDE DO SUL LTDA,2143,DEMAIS,02,4645101,RS,CANOAS,5134626400,,0,0,0,minhareceita,2026-09-03T23:40:11Z,2026-09-03T23:40:11Z,enrich
02501297,PHARLAB INDUSTRIA FARMACEUTICA S.A,2054,DEMAIS,02,2121101,MG,LAGOA DA PRATA,3732619090,,0,0,0,minhareceita,2026-09-03T23:41:01Z,2026-09-03T23:41:01Z,enrich
02513526,CICLO CAIRU LTDA,2062,DEMAIS,02,4541202,RO,PIMENTA BUENO,6934510500,,0,0,0,minhareceita,2026-09-03T23:43:31Z,2026-09-03T23:43:31Z,enrich
02513991,DE HEUS INDUSTRIA E COMERCIO DE NUTRICAO ANIMAL LTDA,2062,DEMAIS,02,1066000,SP,RIO CLARO,1930467109,,0,0,0,minhareceita,2026-09-03T23:43:35Z,2026-09-03T23:43:35Z,enrich
02520829,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,2062,DEMAIS,02,4644301,RS,BARAO DE COTEGIPE,5435232600,,0,0,0,minhareceita,2026-09-03T23:43:55Z,2026-09-03T23:43:55Z,enrich
02524216,ALFANI CONFECCOES E COMERCIO LTDA - EM RECUPERACAO JUDICIAL,2062,DEMAIS,02,4781400,PE,RECIFE,8134198550,,0,0,0,minhareceita,2026-09-03T23:37:52Z,2026-09-03T23:37:52Z,enrich
02525961,HEMOPROT INDUSTRIA E COMERCIO DE PRODUTOS FRIGORIFICOS LTDA,2062,DEMAIS,02,1013902,MS,MUNDO NOVO,6792126719,,0,0,0,minhareceita,2026-09-03T23:41:50Z,2026-09-03T23:41:50Z,enrich
02535864,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO INSTITUICAO DE PAGAMENTO S.A.,2054,DEMAIS,02,8299702,SP,SAO PAULO,1141344100,,0,0,0,minhareceita,2026-09-03T23:37:59Z,2026-09-03T23:37:59Z,enrich
02553526,JGM EMPREENDIMENTOS E PARTICIPACOES LTDA,2062,DEMAIS,02,6462000,SC,JARAGUA DO SUL,0473710099,,1,0,0,minhareceita,2026-09-03T23:37:08Z,2026-09-03T23:37:08Z,enrich
02558157,TELEFONICA BRASIL S.A.,2046,DEMAIS,02,6120599,SP,SAO PAULO,1134304532,,0,0,0,minhareceita,2026-09-03T23:42:22Z,2026-09-03T23:42:22Z,enrich
02565876,HUESKER LTDA,2062,DEMAIS,02,4679604,SP,SAO JOSE DOS CAMPOS,1239039300,,0,0,0,minhareceita,2026-09-03T23:41:33Z,2026-09-03T23:41:33Z,enrich
02576794,ACOPLATION ANDAIMES LTDA EM RECUPERACAO JUDICIAL,2062,DEMAIS,02,7112000,MG,BALDIM,3130362975,,0,0,0,minhareceita,2026-09-03T23:41:57Z,2026-09-03T23:41:57Z,enrich
02588815,BELLOTA BRASIL LTDA,2062,DEMAIS,02,2833000,SC,INDAIAL,4733018030,,0,0,0,minhareceita,2026-09-03T23:38:46Z,2026-09-03T23:38:46Z,enrich
02624729,MADETEC MOVEIS LTDA,2062,DEMAIS,02,3101200,PR,ARAPONGAS,4333031800,,0,0,0,minhareceita,2026-09-03T23:43:58Z,2026-09-03T23:43:58Z,enrich
02635522,JALLES MACHADO S.A.,2046,DEMAIS,02,1071600,GO,GOIANESIA,6333899000,,0,0,0,minhareceita,2026-09-03T23:45:24Z,2026-09-03T23:45:24Z,enrich
02676351,SOAGRO - SOCIEDADE AGRO-PECUARIA LTDA,2062,DEMAIS,02,4683400,GO,RIO VERDE,6421014000,,0,0,0,minhareceita,2026-09-03T23:43:13Z,2026-09-03T23:43:13Z,enrich
02694691,CANADA LOCADORA DE EQUIPAMENTOS LIMITADA,2062,EMPRESA DE PEQUENO PORTE,02,2869100,MG,NOVA LIMA,3135894500,,0,0,0,minhareceita,2026-09-03T23:44:14Z,2026-09-03T23:44:14Z,enrich
02709992,CRISTAL ALIMENTOS LTDA,2062,DEMAIS,02,1061901,GO,APARECIDA DE GOIANIA,6232269064,,0,0,0,minhareceita,2026-09-03T23:43:11Z,2026-09-03T23:43:11Z,enrich
02721927,POLIMAN INDUSTRIA E COMERCIO DE MOVEIS LTDA,2062,DEMAIS,02,3101200,PR,ARAPONGAS,4332768600,,0,0,0,minhareceita,2026-09-03T23:44:21Z,2026-09-03T23:44:21Z,enrich
02748323,OLINDA INDUSTRIA E COMERCIO DE COLCHOES LTDA,2062,DEMAIS,02,3104700,PE,OLINDA,8121285000,,0,0,0,minhareceita,2026-09-03T23:38:28Z,2026-09-03T23:38:28Z,enrich
02770062,EPHOXAL DO BRASIL INDUSTRIA E COMERCIO LTDA,2062,DEMAIS,02,2032100,SP,EMBU DAS ARTES,1141389347,,0,0,0,minhareceita,2026-09-03T23:39:12Z,2026-09-03T23:39:12Z,enrich
02802419,MERCOFRICON S/A,2054,DEMAIS,02,2823200,PE,PAULISTA,8121215047,,0,0,0,minhareceita,2026-09-03T23:40:01Z,2026-09-03T23:40:01Z,enrich
02905110,GR SERVICOS E ALIMENTACAO LTDA.,2062,DEMAIS,02,5620101,SP,SAO PAULO,1121353000,,0,0,0,minhareceita,2026-09-03T23:42:46Z,2026-09-03T23:42:46Z,enrich
02914460,SEARA ALIMENTOS LTDA,2062,DEMAIS,02,4634601,SC,ITAJAI,4733447424,,0,0,0,minhareceita,2026-09-03T23:44:30Z,2026-09-03T23:44:30Z,enrich
02916265,JBS S/A,2046,DEMAIS,02,1011201,SP,SAO PAULO,1131444000,,0,0,0,minhareceita,2026-09-03T23:46:43Z,2026-09-03T23:46:43Z,enrich
02924249,RANCHEIRO S.A.,2054,DEMAIS,02,1092900,GO,ANAPOLIS,6240158955,,0,0,0,minhareceita,2026-09-03T23:42:29Z,2026-09-03T23:42:29Z,enrich
02932074,HYPERA S.A.,2046,DEMAIS,02,4644301,SP,SAO PAULO,6238788150,,0,0,0,minhareceita,2026-09-03T23:36:55Z,2026-09-03T23:36:55Z,enrich
02948030,ESMALTEC S/A,2054,DEMAIS,02,2751100,CE,FORTALEZA,8534668540,,0,0,0,minhareceita,2026-09-03T23:38:10Z,2026-09-03T23:38:10Z,enrich
02965637,VEJA SERVICOS LTDA,2062,MICRO EMPRESA,02,8211300,CE,FORTALEZA,8532234964,,0,0,0,minhareceita,2026-09-03T23:39:36Z,2026-09-03T23:39:36Z,enrich
03070981,CONDOMINIO DO ASPEN PARK SHOPPING CENTER II,3085,DEMAIS,02,8112500,PR,MARINGA,4433662037,,0,0,0,minhareceita,2026-09-03T23:40:56Z,2026-09-03T23:40:56Z,enrich
03071894,VALGROUP AM INDUSTRIA DE MASTERBATCH LTDA.,2062,DEMAIS,02,2222600,AM,MANAUS,1221244400,,0,0,0,minhareceita,2026-09-04T00:06:30Z,2026-09-04T00:06:30Z,enrich
03076832,FLEXIVEL INDUSTRIA E COMERCIO LTDA,2062,DEMAIS,02,2099199,SC,JARAGUA DO SUL,4732701900,,0,0,0,minhareceita,2026-09-03T23:38:03Z,2026-09-03T23:38:03Z,enrich
03106170,JCS BRASIL ELETRODOMESTICOS LTDA,2062,DEMAIS,08,4649401,SC,BALNEARIO DE PICARRAS,4732245000,,0,0,1,minhareceita,2026-09-03T23:39:39Z,2026-09-03T23:39:39Z,enrich
03119889,FERRONORTE INDUSTRIAL LTDA,2062,DEMAIS,02,2424502,PI,TERESINA,8632154950,,0,0,0,minhareceita,2026-09-03T23:38:48Z,2026-09-03T23:38:48Z,enrich
03143730,SECRETARIA EXECUTIVA DE ESPORTE E LAZER,1023,DEMAIS,02,9319199,PA,BELEM,9132012300,,0,1,0,minhareceita,2026-09-03T23:42:06Z,2026-09-03T23:42:06Z,enrich
03161388,MASTERSENSE INGREDIENTES ALIMENTICIOS LTDA,2062,DEMAIS,02,4639701,SP,JUNDIAI,1131093108,,0,0,0,minhareceita,2026-09-03T23:46:37Z,2026-09-03T23:46:37Z,enrich
03178007,JULE INDUSTRIA TEXTIL LTDA,2062,DEMAIS,08,1330800,RJ,PETROPOLIS,2421039000,,0,0,1,minhareceita,2026-09-03T23:41:01Z,2026-09-03T23:41:01Z,enrich
