case_number,debtor_name,debtor_cnpj,cnpj_source,name_match,razao_social,situacao,situacao_desc,porte,capital_social,uf,municipio,cnae_desc,rfb_source,band,band_reasons,plan_status,stage,filing_year,last_movement,updated_at,display_name,display_source,verified_name,verified_cnpj,group_members,administrator,proceeding,verified_confidence,verified_evidence,verified_at
0000407-22.2008.8.02.0025,ALGODOEIRA SERTANEJA LTDA,12686424000130,doc:d7b55bbd score=3,1.0,ALGODOEIRA SERTANEJA LTDA - MASSA FALIDA,02,ATIVA,DEMAIS,8983682,AL,OLHO D'AGUA DAS FLORES,Comércio atacadista de cosméticos e produtos de perfumaria,minhareceita,C,"18y since filing, no plan document",UNKNOWN,,2008,,2026-09-04T16:58:31Z,ALGODOEIRA SERTANEJA LTDA - MASSA FALIDA,rfb,,,,,,,,
0000410-68.2021.8.16.0174,- FORMAPLAN FORMASPLANEJADAS INDÚSTRIA E COMÉRCIO LTDA,00262371000141,doc:8968c57c score=3,0.6717557251908397,FORMAPLAN FORMAS PLANEJADAS INDUSTRIA E COMERCIO LTDA EM RECUPERACAO JUDICIAL,02,ATIVA,EMPRESA DE PEQUENO PORTE,2000000,SP,SAO PAULO,Serviços combinados de escritório e apoio administrativo,minhareceita,C,"5y since filing, no plan document",ESTIMATED,ACTIVE,2021,2026-06-30,2026-09-04T16:58:31Z,FORMAPLAN FORMAS PLANEJADAS INDÚSTRIA E COMÉRCIO LTDA,pdf-read,FORMAPLAN FORMAS PLANEJADAS INDÚSTRIA E COMÉRCIO LTDA,00262371000141,[],"M. MARQUES SOCIEDADE INDIVIDUAL DE ADVOCACIA (Dr. Marcio Roberto Marques, OAB/PR 65.066)",RJ,0.97,"b1a9f73b p.1: 'RELAÇÃO GERAL DE CREDORES / FORMAPLAN FORMAS PLANEJADAS INDÚSTRIA E COMÉRCIO LTDA 00.262.371/0001-41 / Data Base: 22/01/2021 / RELAÇÃO DA AJ (art. 7º, § 2º, LRF)' + footer 'PROJUDI - Processo: 0000410-68.2021.8.16.0174 - Ref. mov. 294.2 - Assinado digitalmente por Marcio Roberto Marques 11/11/2021'",2026-09-04T16:58:30Z
0000436-69.2024.5.09.0671,,,,,,,,,,,,,,B,"live case, no plan document yet",UNKNOWN,,2024,,2026-09-04T16:58:31Z,,,,,,,,,,
0000472-94.2012.5.06.0193,,,,,,,,,,,,,,C,"14y since filing, no plan document",UNKNOWN,,2012,,2026-09-04T16:58:31Z,,,,,,,,,,
0000635-08.2003.8.08.0024,Alcoa Aluminlo S/A,,,,,,,,,,,,,D,document is a falência (bankruptcy) list,UNKNOWN,,2003,,2026-09-04T16:58:31Z,Refrigerantes Polo Sul Ltda,pdf-read,Refrigerantes Polo Sul Ltda,,[],Jeferson Luis Alves,FALENCIA,0.95,"p.1: ""Habilitacão de Crédito na Falida / Requerente: Alcoa Aluminlo S/A / Requerida: Refrigerantes Polo Sul Ltda"" ... ""JEFERSON LUIS ALVES ... Administrador Judicial nos autos da Ação de Falência de Refrigerantes Polo Sul LTDA, processo no 024.03.000635-7"" ... ""QUADRO GERAL DE CREDORES""",2026-09-04T16:58:30Z
0000707-30.2008.8.02.0042,LAGINHA AGRO INDUSTRIAL S/A - Vivante Gestão e Administração Judicial,,,,,,,,,,,,,C,"18y since filing, no plan document",UNKNOWN,,2008,,2026-09-04T16:58:31Z,LAGINHA AGRO INDUSTRIAL S/A,hint,,,,,,,,
0000721-61.2024.8.17.2620,"em litisconsórcio ativo, conforme entendimento jurisprudencia",08785522000158,doc:6232303a score=2,0.47863247863247865,DIVINA INDUSTRIA DE COURO LTDA - EM RECUPERACAO JUDICIAL,,,,,,,,NAME_MISMATCH,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2024,2026-07-29,2026-09-04T16:58:31Z,GRUPO DIVINA,pdf-read,GRUPO DIVINA,08785522000158,"[""DIVINA INDUSTRIA DE COURO LTDA (CNPJ 08.785.522/0001-58)"", ""AGROINDUSTRIAL FERRAZ LTDA (CNPJ 12.999.357/0001-04)"", ""ANALMIRA DE SOUZA LEAL ACABADORA LTDA (CNPJ 19.240.147/0001-87)"", ""FELIPE UCHOA CAVALCANTI ALMEIDA TAVARES – ME (CNPJ 33.246.736/0001-01)""]","LRF LÍDERES EM RECUPERAÇÃO JUDICIAL, FALÊNCIA E CONSULTORIA EMPRESARIAL LTDA, representada por NATÁLIA PIMENTEL LOPES (OAB/PE 30.920)",RJ,0.97,"p1 (38f0c15b): ""EDITAL DE INTIMAÇÃO (ARTIGO 7º, § 2º, Lei 11.101/2005 - LRF) Nº DO PROCESSO: 0000721-61.2024.8.17.2620 ... REQUERENTE: “GRUPO DIVINA” – EM RECUPERAÇÃO JUDICIAL, composto pelas seguintes empresas: 1) DIVINA INDUSTRIA DE COURO LTDA, inscrita no CNPJ: 08.785.522/0001-58; 2) AGROINDUSTRIAL FERRAZ LTDA ...""",2026-09-04T16:58:30Z
0000742-29.2017.8.17.3090,"ABF ENGENHARIA, SERVIÇOS E COMÉRCIO LTDA – LRF Líderes em Recuperação Judicial e Falência",,,,,,,,,,,,,C,"9y since filing, no plan document",UNKNOWN,,2017,,2026-09-04T16:58:31Z,"ABF ENGENHARIA, SERVIÇOS E COMÉRCIO LTDA",hint,,,,,,,,
0000745-65.2017.8.16.0162,Grupo Seara | Administração Judicial - Credibilità,,,,,,,,,,,,,C,"9y since filing, no plan document",UNKNOWN,,2017,,2026-09-04T16:58:31Z,Grupo Seara,hint,,,,,,,,
0000869-62.2019.8.17.2001,"processo tombado sob o no 0000869-62.2019.8.17.2001, requerida pelas empresa",10778132000100,doc:85a47dd9 score=2,0.2711864406779661,JURANDIR PIRES GALDINO & CIA LTDA - FALIDO,,,,,,,,NAME_MISMATCH,C,"7y since filing, no plan document",UNKNOWN,,2019,,2026-09-04T16:58:31Z,,,,,,,,,,
0000880-57.2020.8.17.2001,CONSTRUTORA ANDRADE GUEDES LDTA – Diligence Administração em Recuperação Judicial e Falência,08073264000187,reader,1.0,CONSTRUTORA ANDRADE GUEDES LTDA EM RECUPERACAO JUDICIAL,02,ATIVA,DEMAIS,20000000,PE,RECIFE,Outras obras de engenharia civil não especificadas anteriormente,minhareceita,C,"6y since filing, no plan document",ESTIMATED,ACTIVE,2020,2026-07-30,2026-09-04T16:58:31Z,CONSTRUTORA ANDRADE GUEDES LTDA,pdf-read,CONSTRUTORA ANDRADE GUEDES LTDA,08073264000187,[],DILIGENCE ADMINISTRAÇÃO EM RECUPERAÇÃO JUDICIAL E FALÊNCIA LTDA. - EPP (sócios Paulo Roberto de Souza Junior e Marcelo Paes Barreto de Almeida),RJ,0.97,"p.1 (all 4 PDFs, PJe cover): 'Número: 0000880-57.2020.8.17.2001 / Classe: Recuperação Judicial / CONSTRUTORA ANDRADE GUEDES LTDA (REQUERENTE)'; a0e12805 p.3: 'DEFIRO o processamento da recuperação judicial da empresa CONSTRUTORA ANDRADE GUEDES LTDA., inscrita no CNPJ nº 08.073.264/0001-87'; 7bbd6274 p.5: 'CONSTRUTORA ANDRADE GUEDES RELAÇÃO DE CREDORES QUIROGRAFÁRIOS- CLASSE III'",2026-09-04T16:58:30Z
0000890-94.2021.8.17.3350,e Falência,,,,,,,,,,,,,C,"5y since filing, no plan document",ESTIMATED,ACTIVE,2021,2026-07-28,2026-09-04T16:58:31Z,CONSTRUTORA METRON LTDA,hint,,,,,,,,
0000941-21.2012.8.26.0101,,,,,,,,,,,,,,C,"14y since filing, no plan document",UNKNOWN,,2012,,2026-09-04T16:58:31Z,,,,,,,,,,
0001021-69.2017.8.21.0126,SCZ Scalzilli Administração Judicial,,,,,,,,,,,,,C,"9y since filing, no plan document",UNKNOWN,,2017,,2026-09-04T16:58:31Z,,,,,,,,,,
0001154-67.2026.8.16.0019,e a terceiros interessa,01583294000194,doc:b9781142 score=2,0.35555555555555557,APPELDORN DISTRIBUIDORA DE ALIMENTOS LTDA - EM RECUPERACAO JUDICIAL,,,,,,,,NAME_MISMATCH,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2026,2026-07-31,2026-09-04T16:58:31Z,APPELDORN DISTRIBUIDORA DE ALIMENTOS LTDA - EM RECUPERACAO JUDICIAL,rfb,,,,,,,,
0001234-83.2012.8.21.0083,ESTIVER EM CIA,,,,,,,,,,,,,C,"14y since filing, no plan document",UNKNOWN,,2012,,2026-09-04T16:58:31Z,ESTIVER EM CIA,hint,,,,,,,,
0001324-92.2023.8.17.2710,ONDUNORTE CIA DE PAPEIS E PAPELAO ONDULADO DO NORTE e outras - Vivante Gestão e Administração Judicial,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2023,2026-07-29,2026-09-04T16:58:31Z,ONDUNORTE CIA DE PAPEIS E PAPELAO ONDULADO DO NORTE e outras,hint,,,,,,,,
0001639-09.2026.8.17.2810,E FALENCIA,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2026,2026-07-31,2026-09-04T16:58:31Z,GRUPO GLP,pdf-read,GRUPO GLP,,"[""BV DISTRIBUIDORA DE GAS GLP LTDA. - ME"", ""DISTRIBUIDORA UNIVERSAL DE GLP LTDA"", ""J.E.V. DE M. GULDE GAS - ME"", ""REVENDA UNIVERSAL DE GLP GAS LTDA - ME"", ""RIT COMERCIO DE GAS LIQUEFEITO DE PETROLEO LTDA"", ""VMG GAS EIRELI - ME""]","DILIGENCE ADMINISTRAÇÃO EM RECUPERAÇÃO JUDICIAL E FALÊNCIA (CNPJ 23.062.374/0001-37) and RECUPERA SOLUÇÕES EMPRESARIAIS (CNPJ 55.057.808/0001-05), co-administradoras judiciais",RJ,0.95,"5da7b77b p.3 / aaa3ba84 p.4: 'EDITAL DE INTIMAÇÃO DO GRUPO GLP, EXPEDIDO NOS AUTOS DA RECUPERAÇÃO JUDICIAL Nº 0001639-09.2026.8.17.2810, NOS TERMOS DO ART. 52, § 1º ... pedido de recuperação judicial formulado pelas empresas BV DISTRIBUIDORA DE GAS GLP LTDA. - ME, DISTRIBUIDORA UNIVERSAL DE GLP LTDA, J.E.V. DE M. GULDE GAS - ME, REVENDA UNIVERSAL DE GLP GAS LTDA – ME, RIT COMERCIO DE GAS LIQUEFEIT",2026-09-04T16:58:30Z
0001776-49.2023.8.17.2760,GRUPO SUPERMERCADO PATRÍCIA,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2023,2026-07-16,2026-09-04T16:58:31Z,GRUPO SUPERMERCADO PATRÍCIA,hint,,,,,,,,
0001943-40.2024.8.16.0115,"no prazo de 776, sa",77317972000139,doc:f3cc2594 score=2,0.2816901408450704,D'AGOSTINI & DIDOMENICO LTDA EM RECUPERACAO JUDICIAL,,,,,,,,NAME_MISMATCH,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2024,2026-06-29,2026-09-04T16:58:31Z,GRUPO D&D,pdf-read,GRUPO D&D,,"[""D & D LOGÍSTICA E TRANSPORTE LTDA (CNPJ 82.397.068/0001-10)"", ""D’AGOSTINI & DIDOMENICO LTDA (CNPJ 77.317.972/0001-39)""]","M. MARQUES SOCIEDADE INDIVIDUAL DE ADVOCACIA (Marques Administrações Judiciais), representada por Dr. Marcio Roberto Marques",RJ,0.97,"p1 (dfc3207d): 'RELAÇÃO GERAL DE CREDORES / Nome / Razão Social: CNPJ: Mês de Competência: / D & D LOGÍSTICA E TRANSPORTE LTDA 82.397.068/0001-10 06/2024 / 77.317.972/0001-39 D’AGOSTINI & DIDOMENICO LTDA / RELAÇÃO DA AJ (art. 7°, § 2°, LRF)'; p1 (53aab9ec): 'Processo: 0001943-40.2024.8.16.0115 Recuperandas: D’Agostini & Didomenico LTDA / D & D Logística e Transporte LTDA'",2026-09-04T16:58:30Z
0002123-52.2018.8.19.0028,"possui jurisdição voluntária, ou seja, apesa",,,,,,,,,,,,,C,"8y since filing, no plan document",UNKNOWN,,2018,,2026-09-04T16:58:31Z,ALPISEG SAFETY Treinamento Comércio e Serviços EIRELI,hint,,,,,,,,
0002316-40.2012.8.17.0220,E FALENCIA,,,,,,,,,,,,,C,"14y since filing, no plan document",UNKNOWN,,2012,,2026-09-04T16:58:31Z,AIDA DE ANDRADE LIMA RABELLO,hint,,,,,,,,
0002325-43.2026.8.17.2990,GRUPO MEDITERRÂNEA - Recupera Soluções Empresariais,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2026,2026-07-31,2026-09-04T16:58:31Z,GRUPO MEDITERRÂNEA,hint,,,,,,,,
0002484-82.2022.8.17.2001,SEVERINO DO RAMO VIEIRA DE CARVALHO,01054509000180,doc:f3b6182e score=2,0.36363636363636365,R W CONSTRUCOES LTDA,,,,,,,,NAME_MISMATCH,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2022,2026-07-22,2026-09-04T16:58:31Z,GRUPO CATTAN,pdf-read,GRUPO CATTAN,,"[""CATÃO & CIA LTDA. (edital: CATÃO CONFECÇÕES LTDA, CNPJ 10.775.286/0008-07)"", ""ALFANI COMÉRCIO LTDA. (edital: ALFANI CONFECÇÕES E COMERCIO LTDA, CNPJ 02.524.216/0001-81)"", ""DANTAS CONFECÇÕES E COMÉRCIO LTDA. (CNPJ 08.627.082/0001-00)"", ""NELBLU CONFECÇÕES LTDA. (CNPJ 08.621.276/0001-07)"", ""M. MORAIS & CIA. LTDA. (listed as REQUERENTE in PJe party list only)""]","LINDOSO E ARAÚJO CONSULTORIA EMPRESARIAL (Ana Cláudia Vasconcelos Araújo Weinberg) and LRF - LÍDERES EM RECUPERAÇÃO JUDICIAL, FALÊNCIA E CONSULTORIA LTDA (Natália Pimentel Lopes) — co-administradores judiciais",RJ,0.97,"p3 (37fa6c84): ""nos autos do pedido de RECUPERAÇÃO JUDICIAL DAS EMPRESAS CATÃO & CIA LTDA., ALFANI COMÉRCIO LTDA., DANTAS CONFECÇÕES E COMÉRCIO LTDA., NELBLU CONFECÇÕES LTDA. – “GRUPO CATTAN”, nos termos do parágrafo 2º do art. 7º da Lei 11.101/2005""",2026-09-04T16:58:30Z
0002662-05.2024.8.16.0056,Agropecuária Ferti LTDA | Administração Judicial - Credibilità,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2024,2026-06-26,2026-09-04T16:58:31Z,Agropecuária Ferti LTDA,hint,,,,,,,,
0002888-23.2018.8.19.0028,Paragon Offshore - Real Brasil Consultoria,,,,,,,,,,,,,A,plan/homologation document found,CONFIRMED,,2018,,2026-09-04T16:58:31Z,Paragon Offshore,hint,,,,,,,,
0003232-89.2024.8.16.0185,,05059250000110,reader,0.8285714285714286,VISAO ASSESSORIA CONTABIL LTDA FALIDO,08,BAIXADA,MICRO EMPRESA,28000,PR,CURITIBA,Atividades de contabilidade,minhareceita,D,document is a falência (bankruptcy) list,UNKNOWN,,2024,,2026-09-04T16:58:31Z,VISÃO ASSESSORIA CONTÁBIL SC LTDA,pdf-read,VISÃO ASSESSORIA CONTÁBIL SC LTDA,05059250000110,[],"Brazilio Bacellar, Shirai Advogados",FALENCIA,0.95,"32987552 p.1: ""EDITAL DE PUBLICAÇÃO DA RELAÇÃO DE CREDORES (§ 2.º DO ART. 7.º DA LEI n.º 11.101/2005) APRESENTADA PELA ADMINISTRADORA JUDICIAL NOS AUTOS DE FALÊNCIA DE VISÃO ASSESSORIA CONTÁBIL SC LTDA. ... nos autos de Falência n.º 0003232-89.2024.8.16.0185""; footer ""14/02/2025: EXPEDIÇÃO DE EDITAL""",2026-09-04T16:58:30Z
0003283-70.2015.8.17.2810,e Falência,,,,,,,,,,,,,C,"11y since filing, no plan document",UNKNOWN,,2015,,2026-09-04T16:58:31Z,,,,,,,,,,
0003679-79.2026.8.16.0194,Fasttel Engenharia S.A. | Administração Judicial - Credibilità,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2026,2026-07-31,2026-09-04T16:58:31Z,Fasttel Engenharia S.A.,hint,,,,,,,,
0003971-03.2023.8.16.0119,Marques Administrações Judiciais,11624776000107,reader,0.7272727272727272,AGROMEAL SUPRIMENTOS AGROPECUARIOS LTDA EM RECUPERACAO JUDICIAL,02,ATIVA,MICRO EMPRESA,1047100,PR,NOVA ESPERANCA,Fabricação de produtos diversos não especificados anteriormente,minhareceita,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2023,2026-06-30,2026-09-04T16:58:31Z,Grupo Agromeal,pdf-read,Grupo Agromeal,11624776000107,"[""AGROMEAL SUPRIMENTOS AGROPECUÁRIOS LTDA (CNPJ 11.624.776/0001-07)"", ""DAIFA AGRONEGOCIOS LTDA (CNPJ 21.003.616/0001-96)""]",Marcio Roberto Marques (digital signature on the PROJUDI filing; portal Marques Administrações Judiciais),RJ,0.95,"p1 (1209dafe): ""RELAÇÃO GERAL DE CREDORES Nome / Razão Social: CNPJ: Mês de Competência: AGROMEAL SUPRIMENTOS AGROPECUÁRIOS LTDA 11.624.776/0001-07 12/2023 21.003.616/0001-96 DAIFA AGRONEGOCIOS LTDA RELAÇÃO DA AJ (art. 7°, § 2°, LRF)""; p2: ""Devedor ... Grupo Agromeal""",2026-09-04T16:58:30Z
0004387-24.2024.8.16.0090,Marques Administrações Judiciais,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2024,2026-06-01,2026-09-04T16:58:31Z,,,,,,,,,,
0004686-90.2026.8.17.2001,E FALENCIA,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2026,2026-07-27,2026-09-04T16:58:31Z,proposta pela VOLTSWATTS HOLDING S.A,hint,,,,,,,,
0004838-75.2012.8.17.0370,CERÂMICA PORTO RICO LTDA,,,,,,,,,,,,,C,"14y since filing, no plan document",UNKNOWN,,2012,,2026-09-04T16:58:31Z,CERÂMICA PORTO RICO LTDA,hint,,,,,,,,
0004984-95.2024.8.16.0153,insolvência,01318721000107,doc:e9004aca score=2,0.19444444444444442,AGILE EQUIPAMENTOS ODONTOLOGICOS LTDA EM RECUPERACAO JUDICIAL,,,,,,,,NAME_MISMATCH,A,plan/homologation document found,CONFIRMED,ACTIVE,2024,2026-06-24,2026-09-04T16:58:31Z,AGILE EQUIPAMENTOS ODONTOLOGICOS LTDA EM RECUPERACAO JUDICIAL,rfb,,,,,,,,
0004986-18.2023.8.16.0083,DALAZEN DISTR.DE PROD.DE HIGIENE PESSOAL LTDA,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2023,2026-07-28,2026-09-04T16:58:31Z,DALAZEN DISTR.DE PROD.DE HIGIENE PESSOAL LTDA,hint,,,,,,,,
0005010-50.2013.8.24.0026,,,,,,,,,,,,,,D,document is a falência (bankruptcy) list,UNKNOWN,,2013,,2026-09-04T16:58:31Z,Mannes,pdf-read,Mannes,,[],,FALENCIA,0.7,"ea17ba43 p.1-3: ""Processo: 0005010-50.2013.8.24.0026 ... Evento: PETIÇÃO - REFER. AOS EVENTOS: 3618 E 3620 Data: 25/03/2025 ... ANEXO IV RELAÇÃO DOS CREDORES ATUALIZADA ... CLASSE NOME CPF DEVEDOR NATUREZA VALOR / I ABEL DOS PASSOS PEREIRA 855.103.009-49 Mannes Trabalhista R$ 76.998,21""",2026-09-04T16:58:30Z
0005010-98.2023.8.16.0001,Marques Administrações Judiciais,22771751000144,doc:9cdc12d4 score=2,0.3820224719101124,VEV COMERCIO DE MEDICAMENTOS LTDA EM RECUPERACAO JUDICIAL,,,,,,,,NAME_MISMATCH,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2023,2026-06-30,2026-09-04T16:58:31Z,GRUPO DP4,pdf-read,GRUPO DP4,,"[""VEV COMÉRCIO DE MEDICAMENTOS (CNPJ 22.771.751/0001-44) + filiais 0002-25 e 0003-06"", ""DISPAR DISTRIBUIDORA DE MEDICAMENTOS LTDA. - EPP (CNPJ 19.195.971/0001-62) + filiais 0002-43, 0005-96, 0003-24, 0004-05, 0006-77"", ""AZUL FARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA. (CNPJ 26.476.117/0001-30)"", ""AIKON COMÉRCIO DE MEDICAMENTOS LTDA. - EPP (CNPJ 09.661.689/0001-70)"", ""TOP FARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA. - EPP (CNPJ 10.805.902/0001-59)"", ""E.L.M. PARTICIPAÇÕES EIRELI (CNPJ 17.007.891/0001-00)""]",Marcio Roberto Marques (Marques Administrações Judiciais),RJ,0.95,"9cdc12d4 p.1: ""AUTOS Nº 0005010-98.2023.8.16.0001 (PROJUDI) - RECUPERAÇÃO JUDICIAL PUBLICAÇÃO DA RELAÇÃO DE CREDORES (ARTIGO 7º, § 2º DA LEI 11.101/2005) ... RECUPERAÇÃO JUDICIAL DE VEV COMÉRCIO DE MEDICAMENTOS (CNPJ nº 22.771.751/0001-44) ... E.L.M. PARTICIPAÇÕES EIRELI (CNPJ nº 17.007.891/0001-00) - GRUPO DP 4""; b465a5d1 p.1: ""GRUPO DP4 19.195.971/0001-62 e outros ... RELAÇÃO DA AJ (art. 7º, § 2",2026-09-04T16:58:30Z
0005910-33.2023.8.16.0017,Marques Administrações Judiciais,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2023,2026-04-23,2026-09-04T16:58:31Z,,,,,,,,,,
0006015-27.2016.8.16.0026,Grupo Schmidt | Administração Judicial - Credibilità,,,,,,,,,,,,,C,"10y since filing, no plan document",UNKNOWN,,2016,,2026-09-04T16:58:31Z,Grupo Schmidt,hint,,,,,,,,
0006775-56.2016.8.17.2480,BONANZA SUPERMERCADOS LTDA – LRF Líderes em Recuperação Judicial e Falência,12023966000123,doc:caa0bc62 score=5,0.8636363636363636,BONANZA SUPERMERCADOS LTDA EM RECUPERACAO JUDICIAL,02,ATIVA,DEMAIS,16000000,PE,CARUARU,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",minhareceita,C,"10y since filing, no plan document",UNKNOWN,,2016,,2026-09-04T16:58:31Z,BONANZA SUPERMERCADOS LTDA EM RECUPERACAO JUDICIAL,rfb,,,,,,,,
0007113-75.2018.8.26.0001,"GateKeeper | Recuperação Judicial em São Paulo – Ética, técnica e profissionalismo na administração judicial de processos de recuperação e falência.",,,,,,,,,,,,,C,"8y since filing, no plan document",UNKNOWN,,2018,,2026-09-04T16:58:31Z,GateKeeper,hint,,,,,,,,
